model_id,selected_responses,observed_usage_records,usage_basis,input_tokens,cached_input_tokens,output_tokens_including_reasoning,reasoning_tokens,answer_tokens,usd_full_task,usd_per_uid
gpt6_probe,400,400,selected_response_usage,642794,1408,1055735,531899,523836,59.202018,0.59202018
gemini38_flash,400,400,selected_response_usage,570696,0,8293148,7743386,549762,31.527327000,0.315273270
qwen38max,400,400,selected_response_usage,584828,409600,8210221,7563300,646921,41.022307971,0.41022307971
grok46,400,400,selected_response_usage,616734,127872,5035772,4574051,461721,31.2562920,0.31256292
kimi_k3,400,0,official_tokenizer_estimate,556932,0,3128705,,,48.6013710,0.48601371
claude_opus5,400,400,selected_response_usage,777034,0,1749495,1099940,649555,47.6225450,0.47622545
glm53_official,400,400,selected_response_usage,532610,394816,2407644,1891348,516296,10.88919736,0.1088919736
deepseek_v41flash,400,400,selected_response_usage,534484,343424,4868141,4361199,506942,5.901147744,0.05901147744
doubao21,400,400,selected_response_usage,578134,14500,14763873,14157985,605888,63.759342,0.63759342
glm53flash,400,400,selected_response_usage,532610,364224,1233069,722052,511017,0.326359560,0.0032635956
